Move 43200 called. Episodes: 0, Games: 0
Move 43300 called. Episodes: 0, Games: 0
Move 43400 called. Episodes: 0, Games: 0
Move 43500 called. Episodes: 0, Games: 0
Move 43600 called. Episodes: 0, Games: 0
Move 43700 called. Episodes: 0, Games: 0
Move 43800 called. Episodes: 0, Games: 0
Move 43900 called. Episodes: 0, Games: 0
Move 44000 called. Episodes: 0, Games: 0
Move 44100 called. Episodes: 0, Games: 0
Move 44200 called. Episodes: 0, Games: 0
Move 44300 called. Episodes: 0, Games: 0
Move 44400 called. Episodes: 0, Games: 0
Move 44500 called. Episodes: 0, Games: 0
Move 44600 called. Episodes: 0, Games: 0
Move 44700 called. Episodes: 0, Games: 0
Move 44800 called. Episodes: 0, Games: 0
Move 44900 called. Episodes: 0, Games: 0
Move 45000 called. Episodes: 0, Games: 0
Move 45100 called. Episodes: 0, Games: 0
Move 45200 called. Episodes: 0, Games: 0
Move 45300 called. Episodes: 0, Games: 0
Move 45400 called. Episodes: 0, Games: 0
Move 45500 called. Episodes: 0, Games: 0
Move 45600 called. Episodes: 0, Games: 0
Move 45700 called. Episodes: 0, Games: 0
Move 45800 called. Episodes: 0, Games: 0
Move 45900 called. Episodes: 0, Games: 0
Move 46000 called. Episodes: 0, Games: 0
Move 46100 called. Episodes: 0, Games: 0
Move 46200 called. Episodes: 0, Games: 0
Move 46300 called. Episodes: 0, Games: 0
Move 46400 called. Episodes: 0, Games: 0
Move 46500 called. Episodes: 0, Games: 0
Move 46600 called. Episodes: 0, Games: 0
Move 46700 called. Episodes: 0, Games: 0
Move 46800 called. Episodes: 0, Games: 0
Move 46900 called. Episodes: 0, Games: 0
Move 47000 called. Episodes: 0, Games: 0
Move 47100 called. Episodes: 0, Games: 0
Move 47200 called. Episodes: 0, Games: 0
Move 47300 called. Episodes: 0, Games: 0
Move 47400 called. Episodes: 0, Games: 0
Move 47500 called. Episodes: 0, Games: 0
Move 47600 called. Episodes: 0, Games: 0
Move 47700 called. Episodes: 0, Games: 0
Move 47800 called. Episodes: 0, Games: 0
Move 47900 called. Episodes: 0, Games: 0
Move 48000 called. Episodes: 0, Games: 0
Move 48100 called. Episodes: 0, Games: 0
Move 48200 called. Episodes: 0, Games: 0
Move 48300 called. Episodes: 0, Games: 0
Move 48400 called. Episodes: 0, Games: 0
Move 48500 called. Episodes: 0, Games: 0
Move 48600 called. Episodes: 0, Games: 0
Move 48700 called. Episodes: 0, Games: 0
Move 48800 called. Episodes: 0, Games: 0
Move 48900 called. Episodes: 0, Games: 0
Move 49000 called. Episodes: 0, Games: 0
Move 49100 called. Episodes: 0, Games: 0
Move 49200 called. Episodes: 0, Games: 0
Move 49300 called. Episodes: 0, Games: 0
Move 49400 called. Episodes: 0, Games: 0
Move 49500 called. Episodes: 0, Games: 0
Move 49600 called. Episodes: 0, Games: 0
Move 49700 called. Episodes: 0, Games: 0
Move 49800 called. Episodes: 0, Games: 0
Move 49900 called. Episodes: 0, Games: 0
Move 50000 called. Episodes: 0, Games: 0
Move 50100 called. Episodes: 0, Games: 0
Move 50200 called. Episodes: 0, Games: 0
Move 50300 called. Episodes: 0, Games: 0
Move 50400 called. Episodes: 0, Games: 0
Move 50500 called. Episodes: 0, Games: 0
Move 50600 called. Episodes: 0, Games: 0
Move 50700 called. Episodes: 0, Games: 0
Move 50800 called. Episodes: 0, Games: 0
Move 50900 called. Episodes: 0, Games: 0
Move 51000 called. Episodes: 0, Games: 0
Move 51100 called. Episodes: 0, Games: 0
Move 51200 called. Episodes: 0, Games: 0
Move 51300 called. Episodes: 0, Games: 0
Move 51400 called. Episodes: 0, Games: 0
Move 51500 called. Episodes: 0, Games: 0
Move 51600 called. Episodes: 0, Games: 0
Move 51700 called. Episodes: 0, Games: 0
Move 51800 called. Episodes: 0, Games: 0
Move 51900 called. Episodes: 0, Games: 0
Move 52000 called. Episodes: 0, Games: 0
Move 52100 called. Episodes: 0, Games: 0
Move 52200 called. Episodes: 0, Games: 0
Move 52300 called. Episodes: 0, Games: 0
Move 52400 called. Episodes: 0, Games: 0
Move 52500 called. Episodes: 0, Games: 0
Move 52600 called. Episodes: 0, Games: 0
Move 52700 called. Episodes: 0, Games: 0
Move 52800 called. Episodes: 0, Games: 0
Move 52900 called. Episodes: 0, Games: 0
Move 53000 called. Episodes: 0, Games: 0
Move 53100 called. Episodes: 0, Games: 0
Move 53200 called. Episodes: 0, Games: 0
Move 53300 called. Episodes: 0, Games: 0
Move 53400 called. Episodes: 0, Games: 0
Move 53500 called. Episodes: 0, Games: 0
Move 53600 called. Episodes: 0, Games: 0
Move 53700 called. Episodes: 0, Games: 0
Move 53800 called. Episodes: 0, Games: 0
Move 53900 called. Episodes: 0, Games: 0
Move 54000 called. Episodes: 0, Games: 0
Move 54100 called. Episodes: 0, Games: 0
Move 54200 called. Episodes: 0, Games: 0
Move 54300 called. Episodes: 0, Games: 0
Move 54400 called. Episodes: 0, Games: 0
Move 54500 called. Episodes: 0, Games: 0
Move 54600 called. Episodes: 0, Games: 0
Move 54700 called. Episodes: 0, Games: 0
Move 54800 called. Episodes: 0, Games: 0
Move 54900 called. Episodes: 0, Games: 0
Move 55000 called. Episodes: 0, Games: 0
Move 55100 called. Episodes: 0, Games: 0
Move 55200 called. Episodes: 0, Games: 0
Move 55300 called. Episodes: 0, Games: 0
Move 55400 called. Episodes: 0, Games: 0
Move 55500 called. Episodes: 0, Games: 0
Move 55600 called. Episodes: 0, Games: 0
Move 55700 called. Episodes: 0, Games: 0
Move 55800 called. Episodes: 0, Games: 0
Move 55900 called. Episodes: 0, Games: 0
Move 56000 called. Episodes: 0, Games: 0
Move 56100 called. Episodes: 0, Games: 0
Move 56200 called. Episodes: 0, Games: 0
Move 56300 called. Episodes: 0, Games: 0
Move 56400 called. Episodes: 0, Games: 0
Move 56500 called. Episodes: 0, Games: 0
Move 56600 called. Episodes: 0, Games: 0
Move 56700 called. Episodes: 0, Games: 0
Move 56800 called. Episodes: 0, Games: 0
Move 56900 called. Episodes: 0, Games: 0
Move 57000 called. Episodes: 0, Games: 0
Move 57100 called. Episodes: 0, Games: 0
Move 57200 called. Episodes: 0, Games: 0
Move 57300 called. Episodes: 0, Games: 0
Move 57400 called. Episodes: 0, Games: 0
Move 57500 called. Episodes: 0, Games: 0
Move 57600 called. Episodes: 0, Games: 0
Move 57700 called. Episodes: 0, Games: 0
Move 57800 called. Episodes: 0, Games: 0
Move 57900 called. Episodes: 0, Games: 0
Move 58000 called. Episodes: 0, Games: 0
Move 58100 called. Episodes: 0, Games: 0
Move 58200 called. Episodes: 0, Games: 0
Move 58300 called. Episodes: 0, Games: 0
Move 58400 called. Episodes: 0, Games: 0
Move 58500 called. Episodes: 0, Games: 0
Move 58600 called. Episodes: 0, Games: 0
Move 58700 called. Episodes: 0, Games: 0
Move 58800 called. Episodes: 0, Games: 0
Move 58900 called. Episodes: 0, Games: 0
Move 59000 called. Episodes: 0, Games: 0
Move 59100 called. Episodes: 0, Games: 0
Move 59200 called. Episodes: 0, Games: 0
Move 59300 called. Episodes: 0, Games: 0
Move 59400 called. Episodes: 0, Games: 0
Move 59500 called. Episodes: 0, Games: 0
Move 59600 called. Episodes: 0, Games: 0
Move 59700 called. Episodes: 0, Games: 0
Move 59800 called. Episodes: 0, Games: 0
Move 59900 called. Episodes: 0, Games: 0
Move 60000 called. Episodes: 0, Games: 0
Move 60100 called. Episodes: 0, Games: 0
Move 60200 called. Episodes: 0, Games: 0
Move 60300 called. Episodes: 0, Games: 0
Move 60400 called. Episodes: 0, Games: 0
Move 60500 called. Episodes: 0, Games: 0
Move 60600 called. Episodes: 0, Games: 0
Move 60700 called. Episodes: 0, Games: 0
Move 60800 called. Episodes: 0, Games: 0
Move 60900 called. Episodes: 0, Games: 0
Move 61000 called. Episodes: 0, Games: 0
Move 61100 called. Episodes: 0, Games: 0
Move 61200 called. Episodes: 0, Games: 0
Move 61300 called. Episodes: 0, Games: 0
Move 61400 called. Episodes: 0, Games: 0
Move 61500 called. Episodes: 0, Games: 0
Move 61600 called. Episodes: 0, Games: 0
Move 61700 called. Episodes: 0, Games: 0
Move 61800 called. Episodes: 0, Games: 0
Move 61900 called. Episodes: 0, Games: 0
Move 62000 called. Episodes: 0, Games: 0
Move 62100 called. Episodes: 0, Games: 0
Move 62200 called. Episodes: 0, Games: 0
Move 62300 called. Episodes: 0, Games: 0
Move 62400 called. Episodes: 0, Games: 0
Move 62500 called. Episodes: 0, Games: 0
Move 62600 called. Episodes: 0, Games: 0
Move 62700 called. Episodes: 0, Games: 0
Move 62800 called. Episodes: 0, Games: 0
Move 62900 called. Episodes: 0, Games: 0
Move 63000 called. Episodes: 0, Games: 0
Move 63100 called. Episodes: 0, Games: 0
Move 63200 called. Episodes: 0, Games: 0
Move 63300 called. Episodes: 0, Games: 0
Move 63400 called. Episodes: 0, Games: 0
Move 63500 called. Episodes: 0, Games: 0
Move 63600 called. Episodes: 0, Games: 0
